Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://192.168.137.128/,1,90,90,90,90,90,90,90,0.000%,11.11111,29.19,0.00
进入登陆页面,1,63,63,63,63,63,63,63,0.000%,15.87302,53.06,0.00
登陆请求,1,459,459,459,459,459,459,459,0.000%,2.17865,7.06,0.00
事务控制器,1,459,459,459,459,459,459,459,0.000%,2.16920,7.03,0.00
进入主题,5,24,26,26,30,30,21,30,0.000%,7.98722,23.95,0.00
进入条目,5,32,30,33,40,40,29,40,0.000%,7.81250,39.84,0.00
编辑条目页面,5,26,26,29,30,30,23,30,0.000%,7.88644,21.93,0.00
发表条目,5,55,53,55,64,64,52,64,0.000%,7.86164,45.06,0.00
发表条目事务,5,81,81,85,90,90,75,90,0.000%,7.24638,61.69,0.00
Debug Sampler,1,2,2,2,2,2,2,2,0.000%,500.00000,576.66,0.00
总体,30,72,33,90,90,459,2,459,0.000%,21.56722,100.09,0.00
