timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1590031600197,3142,进入登陆页面,200,OK,线程组 1-1,text,true,,3423,0,3,3,3142,0,0
1590031601133,2654,进入登陆页面,200,OK,线程组 1-2,text,true,,3423,0,3,3,2654,0,0
1590031602123,3137,进入登陆页面,200,OK,线程组 1-3,text,true,,3423,0,3,3,3137,0,0
1590031603797,2549,登陆请求,200,OK,线程组 1-2,text,true,,3384,0,3,3,2098,0,0
1590031606348,190,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,190,0,0
1590031605273,2957,登陆请求,200,OK,线程组 1-3,text,true,,3379,0,3,3,2196,0,0
1590031603660,4577,登陆请求,200,OK,线程组 1-1,text,true,,3383,0,3,3,4005,0,0
1590031608232,184,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,184,0,0
1590031608243,259,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,259,0,0
1590031606741,1943,发表条目,200,OK,线程组 1-2,text,true,,226276,0,3,3,225,0,0
1590031608685,77,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,77,0,0
1590031608435,1532,发表条目,200,OK,线程组 1-3,text,true,,226264,0,3,3,196,0,0
1590031609976,77,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,75,0,0
1590031608513,1793,发表条目,200,OK,线程组 1-1,text,true,,269835,0,3,3,108,0,0
1590031610307,76,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,76,0,0
1590031610065,1377,发表条目,200,OK,线程组 1-3,text,true,,226675,0,3,3,87,0,0
1590031611442,62,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,62,0,0
1590031610387,1558,发表条目,200,OK,线程组 1-1,text,true,,270246,0,3,3,57,0,0
1590031611962,71,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,70,0,0
1590031611514,1247,发表条目,200,OK,线程组 1-3,text,true,,227086,0,3,3,65,0,0
1590031612763,63,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,63,0,0
1590031612035,1577,发表条目,200,OK,线程组 1-1,text,true,,270657,0,3,3,56,0,0
1590031613614,84,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,84,0,0
1590031612828,1362,发表条目,200,OK,线程组 1-3,text,true,,227497,0,3,3,52,0,0
1590031608765,5452,发表条目,200,OK,线程组 1-2,text,true,,226687,0,3,3,177,0,0
1590031614191,79,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,79,0,0
1590031614218,63,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,63,0,0
1590031613715,1297,发表条目,200,OK,线程组 1-1,text,true,,271068,0,3,3,61,0,0
1590031615013,57,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,57,0,0
1590031614289,1186,发表条目,200,OK,线程组 1-3,text,true,,227908,0,3,3,114,0,0
1590031614284,1217,发表条目,200,OK,线程组 1-2,text,true,,227098,0,3,3,149,0,0
1590031615478,90,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,90,0,0
1590031615503,109,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,109,0,0
1590031615072,1184,发表条目,200,OK,线程组 1-1,text,true,,271479,0,3,3,79,0,0
1590031616259,92,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,92,0,0
1590031615571,1153,发表条目,200,OK,线程组 1-3,text,true,,228319,0,3,3,96,0,0
1590031615619,1135,发表条目,200,OK,线程组 1-2,text,true,,227509,0,3,3,71,0,0
1590031616729,98,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,97,0,0
1590031616759,95,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,95,0,0
1590031616359,1245,发表条目,200,OK,线程组 1-1,text,true,,271890,0,3,3,59,0,0
1590031617606,60,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,60,0,0
1590031616829,1087,发表条目,200,OK,线程组 1-3,text,true,,228730,0,3,3,90,0,0
1590031617917,74,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,74,0,0
1590031616856,1258,发表条目,200,OK,线程组 1-2,text,true,,227920,0,3,3,80,0,0
1590031618118,76,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,76,0,0
1590031617668,1456,发表条目,200,OK,线程组 1-1,text,true,,272301,0,3,3,69,0,0
1590031618011,1173,发表条目,200,OK,线程组 1-3,text,true,,229141,0,3,3,66,0,0
1590031619125,77,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,77,0,0
1590031618197,1032,发表条目,200,OK,线程组 1-2,text,true,,228331,0,3,3,76,0,0
1590031619187,66,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,66,0,0
1590031619232,87,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,87,0,0
1590031619255,1051,发表条目,200,OK,线程组 1-3,text,true,,229552,0,3,3,84,0,0
1590031620317,104,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,104,0,0
1590031619205,1271,发表条目,200,OK,线程组 1-1,text,true,,272712,0,3,3,69,0,0
1590031619321,1180,发表条目,200,OK,线程组 1-2,text,true,,228742,0,3,3,71,0,0
1590031620476,72,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,72,0,0
1590031620501,79,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,79,0,0
1590031620429,1114,发表条目,200,OK,线程组 1-3,text,true,,229963,0,3,3,225,0,0
1590031621544,71,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,71,0,0
1590031620582,1140,发表条目,200,OK,线程组 1-2,text,true,,229153,0,3,3,105,0,0
1590031621723,62,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,62,0,0
1590031620550,1256,发表条目,200,OK,线程组 1-1,text,true,,273123,0,3,3,58,0,0
1590031621809,68,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,68,0,0
1590031621617,1064,发表条目,200,OK,线程组 1-3,text,true,,230374,0,3,3,49,0,0
1590031622682,60,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,60,0,0
1590031621788,1247,发表条目,200,OK,线程组 1-2,text,true,,229564,0,3,3,68,0,0
1590031623036,85,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,85,0,0
1590031621893,1367,发表条目,200,OK,线程组 1-1,text,true,,273534,0,3,3,86,0,0
1590031623261,69,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,69,0,0
1590031623123,1168,发表条目,200,OK,线程组 1-2,text,true,,229975,0,3,3,84,0,0
1590031624292,75,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,75,0,0
1590031623331,1339,发表条目,200,OK,线程组 1-1,text,true,,273945,0,3,3,55,0,0
1590031624671,61,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,61,0,0
1590031624369,1036,发表条目,200,OK,线程组 1-2,text,true,,230386,0,3,3,56,0,0
1590031625407,74,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,74,0,0
1590031624735,1289,发表条目,200,OK,线程组 1-1,text,true,,274356,0,3,3,50,0,0
1590031626034,62,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,62,0,0
1590031625490,1065,发表条目,200,OK,线程组 1-2,text,true,,230797,0,3,3,51,0,0
1590031626556,58,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,58,0,0
1590031622745,4483,发表条目,200,OK,线程组 1-3,text,true,,230785,0,3,3,58,0,0
1590031627230,58,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,58,0,0
1590031626097,1266,发表条目,200,OK,线程组 1-1,text,true,,274767,0,3,3,60,0,0
1590031627364,63,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,63,0,0
1590031626618,1118,发表条目,200,OK,线程组 1-2,text,true,,231208,0,3,3,68,0,0
1590031627737,62,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,62,0,0
1590031627291,1237,发表条目,200,OK,线程组 1-3,text,true,,231196,0,3,3,51,0,0
1590031628529,61,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,61,0,0
1590031627436,1447,发表条目,200,OK,线程组 1-1,text,true,,275178,0,3,3,68,0,0
1590031628885,60,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,60,0,0
1590031627801,1420,发表条目,200,OK,线程组 1-2,text,true,,231619,0,3,3,82,0,0
1590031629222,53,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,53,0,0
