timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1590031599988,0,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031599999,98039,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031599999,70992,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031599999,72,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031601000,959000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031601000,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031601000,70992,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031601000,72,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031602001,899000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031602002,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031602002,71107,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031602002,444,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031603002,3707000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031603003,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031603003,71192,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031603003,160,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031604003,7772000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031604004,99000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031604004,71331,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031604004,208,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031605004,4392000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031605005,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031605005,71405,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031605005,156,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031606006,4734000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031606006,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031606006,71440,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031606006,140,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031607007,4807000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031607007,99029,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031607007,71507,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031607008,148,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031608008,9214000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
